"orders_id";"employees_id";"order_date";"order_status";"payment_method";"total_cost";"tax_amount";"notes"
1;1;"2024-01-20 10:15:00";"Успешно";"Безналичными";125.5;10.0;"Оплата прошла успешно"
2;2;"2024-01-20 11:30:00";"Обработка";"Наличными";75.0;0.0;"Заказ на рассмотрении"
3;1;"2024-01-21 14:00:00";"Успешно";"Безналичными";210.75;15.0;"Заказ доставлен"
4;3;"2024-01-21 16:45:00";"Отменено";"Наличными";50.0;0.0;"Заказ отменен клиентом"
5;2;"2024-01-22 09:00:00";"Обработка";"Безналичными";99.99;8.0;"Заказ обрабатывается"
6;4;"2024-01-22 10:45:00";"Успешно";"Наличными";180.0;12.0;"Заказ получен"
7;1;"2024-01-23 13:15:00";"Обработка";"Безналичными";45.2;3.0;"Ожидание оплаты"
8;3;"2024-01-23 15:30:00";"Успешно";"Наличными";300.0;20.0;"Заказ выдан"
9;2;"2024-01-24 11:00:00";"Отменено";"Безналичными";60.0;0.0;"Некорректные данные"
10;4;"2024-01-24 13:45:00";"Обработка";"Наличными";110.5;9.0;"Проверка наличия товаров"
11;1;"2024-01-25 08:30:00";"Успешно";"Безналичными";25.0;2.0;"Заказ отправлен"
12;3;"2024-01-25 16:00:00";"Обработка";"Безналичными";80.0;6.0;"Сборка заказа"
13;2;"2024-01-26 10:00:00";"Успешно";"Наличными";150.0;10.0;"Заказ доставлен курьером"
14;4;"2024-01-26 12:15:00";"Отменено";"Наличными";40.0;0.0;"Недостаточно товаров на складе"
15;1;"2024-01-27 15:00:00";"Обработка";"Безналичными";70.75;5.0;"Ожидание подтверждения"
16;3;"2024-01-27 17:30:00";"Успешно";"Безналичными";220.0;18.0;"Заказ передан в доставку"
17;2;"2024-01-28 09:45:00";"Отменено";"Наличными";55.0;0.0;"Отменено по запросу клиента"
18;4;"2024-01-28 11:15:00";"Обработка";"Наличными";130.2;11.0;"Подготовка к отправке"
19;1;"2024-01-29 14:30:00";"Успешно";"Безналичными";35.99;3.0;"Заказ получен"
20;3;"2024-01-29 16:00:00";"Обработка";"Безналичными";90.0;7.0;"Сборка товаров"
21;2;"2024-01-30 10:30:00";"Успешно";"Наличными";165.5;13.0;"Заказ в пути"
22;4;"2024-01-30 12:00:00";"Отменено";"Наличными";65.0;0.0;"Неправильный адрес доставки"
23;1;"2024-01-31 13:00:00";"Обработка";"Безналичными";85.0;6.0;"Ожидание оплаты"
24;3;"2024-01-31 14:30:00";"Успешно";"Безналичными";280.0;22.0;"Заказ получен клиентом"
25;2;"2024-02-01 08:00:00";"Отменено";"Наличными";42.0;0.0;"Товар отсутствует"
26;4;"2024-02-01 10:00:00";"Обработка";"Наличными";105.0;8.0;"Проверка заказа"
27;1;"2024-02-02 11:45:00";"Успешно";"Безналичными";190.0;16.0;"Заказ доставлен"
28;3;"2024-02-02 15:00:00";"Обработка";"Безналичными";55.0;4.0;"Сборка заказа"
29;2;"2024-02-03 09:30:00";"Успешно";"Наличными";320.0;25.0;"Заказ выдан"
30;4;"2024-02-03 11:00:00";"Отменено";"Наличными";70.0;0.0;"Некорректные данные"
31;1;"2024-02-04 14:15:00";"Обработка";"Безналичными";115.75;9.0;"Ожидание оплаты"
32;3;"2024-02-04 16:30:00";"Успешно";"Безналичными";140.0;11.0;"Заказ готов к отправке"
33;2;"2024-02-05 10:00:00";"Отменено";"Наличными";62.0;0.0;"Отменено клиентом"
34;4;"2024-02-05 13:00:00";"Обработка";"Наличными";95.0;7.0;"Проверка на складе"
35;1;"2024-02-06 08:45:00";"Успешно";"Безналичными";200.0;17.0;"Заказ доставлен курьером"
36;3;"2024-02-06 11:30:00";"Обработка";"Безналичными";75.0;6.0;"Сборка заказа"
37;2;"2024-02-07 14:00:00";"Успешно";"Наличными";275.0;20.0;"Заказ получен"
38;4;"2024-02-07 16:15:00";"Отменено";"Наличными";48.0;0.0;"Нет товара"
39;1;"2024-02-08 09:00:00";"Обработка";"Безналичными";120.0;9.0;"Ждем подтверждения"
40;3;"2024-02-08 11:30:00";"Успешно";"Безналичными";300.0;23.0;"Заказ выдан"
41;2;"2024-02-09 12:00:00";"Отменено";"Наличными";58.0;0.0;"Неверные данные"
42;4;"2024-02-09 14:45:00";"Обработка";"Наличными";112.5;9.0;"Проверка наличия"
43;1;"2024-02-10 10:15:00";"Успешно";"Безналичными";38.0;3.0;"Заказ отправлен"
44;3;"2024-02-10 16:00:00";"Обработка";"Безналичными";82.0;6.0;"Сборка товаров"
45;2;"2024-02-11 11:00:00";"Успешно";"Наличными";155.0;11.0;"Заказ передан"
46;4;"2024-02-11 13:30:00";"Отменено";"Наличными";45.0;0.0;"Ошибка доставки"
47;1;"2024-02-12 08:30:00";"Обработка";"Безналичными";78.5;6.0;"Ожидание оплаты"
48;3;"2024-02-12 14:00:00";"Успешно";"Безналичными";215.0;18.0;"Заказ доставлен"
49;2;"2024-02-13 10:00:00";"Отменено";"Наличными";53.0;0.0;"Нет в наличии"
50;4;"2024-02-13 12:30:00";"Обработка";"Наличными";100.0;8.0;"Заказ обрабатывается"
