"products_id";"products_name";"descript";"price";"categories_id";"brands_id";"is_available";"image";"suppliers_id";"seasonal_discount"
1;"Семена Томатов 'Бычье сердце'";"Крупноплодный сорт томатов для открытого грунта";1.5;1;1;1;"";1;0.0
2;"Газонная трава 'Спортивная'";"Смесь трав для создания прочного газона";9.99;1;2;1;"";1;0.0
3;"Лопата штыковая";"Прочная стальная лопата для копки земли";19.99;2;1;1;"";2;0.0
4;"Грабли веерные";"Пластиковые грабли для уборки листьев";7.5;2;2;1;"";2;0.0
5;"Комплексное удобрение 'Для роз'";"Удобрение для обильного цветения роз";4.99;3;3;1;"";1;0.0
6;"Суперфосфат";"Фосфорное удобрение для корнеобразования";3.2;3;3;1;"";1;0.0
7;"Инсектицид 'Актара'";"Средство для борьбы с вредителями сада";8.99;4;4;1;"";4;0.0
8;"Фунгицид 'Скор'";"Средство для защиты растений от грибковых заболеваний";11.75;4;4;1;"";4;0.0
9;"Шланг садовый 1/2""";"Гибкий шланг для полива, 20 метров";15.99;5;5;1;"";5;0.0
10;"Разбрызгиватель круговой";"Разбрызгиватель для равномерного полива газона";12.5;5;5;1;"";5;0.0
11;"Почвогрунт 'Универсальный'";"Готовый почвогрунт для рассады и посадки";6.99;6;6;1;"";3;0.0
12;"Мульча древесная кора";"Декоративная мульча для защиты почвы";5.0;6;6;1;"";3;0.0
13;"Садовая фигурка 'Гном'";"Декоративная фигурка для сада";22.0;7;7;1;"";6;0.0
14;"Светильник садовый на солнечной батарее";"Светильник для освещения дорожек";18.75;7;7;1;"";6;0.0
15;"Горшок для цветов керамический";"Керамический горшок для комнатных растений";14.99;8;8;1;"";6;0.0
16;"Кашпо подвесное пластиковое";"Подвесное кашпо для балконов и террас";9.99;8;8;1;"";6;0.0
17;"Фонарь садовый 'Сова'";"Фонарь для освещения сада, стилизованный под сову";28.0;9;7;1;"";6;0.0
18;"Гирлянда светодиодная для сада";"Гирлянда для создания атмосферного освещения";19.5;9;7;1;"";6;0.0
19;"Перчатки садовые";"Защитные перчатки для работы в саду";4.5;10;9;1;"";8;0.0
20;"Маска защитная для лица";"Защитная маска от пыли и вредителей";6.0;10;9;1;"";8;0.0
21;"Семена Огурцов 'Муравей'";"Раннеспелый сорт огурцов для открытого грунта";1.75;1;1;1;"";1;0.0
22;"Газонная трава 'Теневыносливая'";"Смесь трав для газонов в тени";10.99;1;2;1;"";1;0.0
23;"Вилы садовые";"Четырехзубые вилы для перекопки";24.99;2;1;1;"";2;0.0
24;"Секатор садовый";"Секатор для обрезки веток";11.99;2;1;1;"";2;0.0
25;"Калийное удобрение";"Для повышения урожайности и качества плодов";3.5;3;3;1;"";1;0.0
26;"Удобрение для газона";"Для поддержания здорового газона";5.0;3;3;1;"";1;0.0
27;"Акарицид";"Для борьбы с клещами";10.0;4;4;1;"";4;0.0
28;"Ловушка для вредителей";"Клеевая ловушка для вредителей";5.0;4;4;1;"";4;0.0
29;"Таймер полива";"Автоматический таймер для полива";29.99;5;5;1;"";5;0.0
30;"Капельный полив";"Система капельного полива";25.0;5;5;1;"";5;0.0
31;"Почвогрунт для рассады";"Для выращивания рассады";7.5;6;6;1;"";3;0.0
32;"Щепа декоративная";"Для мульчирования";6.0;6;6;1;"";3;0.0
33;"Садовый гном (большой)";"Декоративная садовая фигура";30.0;7;7;1;"";6;0.0
34;"Светодиодный прожектор";"Для освещения сада";35.0;7;7;1;"";6;0.0
35;"Горшок для орхидей";"Прозрачный горшок для орхидей";18.0;8;8;1;"";6;0.0
36;"Набор кашпо";"Набор из трех кашпо";20.0;8;8;1;"";6;0.0
37;"Фонарь-шар";"Садовый фонарь в форме шара";32.0;9;7;1;"";6;0.0
38;"Светодиодная лента для сада";"Для подсветки дорожек";22.0;9;7;1;"";6;0.0
39;"Рабочие перчатки";"Для защиты рук при работах";5.0;10;9;1;"";8;0.0
40;"Респиратор";"Для защиты от пыли";7.0;10;9;1;"";8;0.0
41;"Семена Кабачков 'Зебра'";"Раннеспелый сорт кабачков";1.5;1;1;1;"";1;0.0
42;"Газонная трава 'Универсальная'";"Трава для различных условий";10.0;1;2;1;"";1;0.0
43;"Мотыга";"Для рыхления почвы";15.0;2;1;1;"";2;0.0
44;"Кусторез";"Для обрезки кустов";20.0;2;1;1;"";2;0.0
45;"Азотное удобрение";"Для быстрого роста";4.0;3;3;1;"";1;0.0
46;"Подкормка для цветов";"Для обильного цветения";6.0;3;3;1;"";1;0.0
47;"Средство от муравьев";"Для борьбы с муравьями в саду";9.0;4;4;1;"";4;0.0
48;"Ловушка для слизней";"Для защиты от слизней";6.0;4;4;1;"";4;0.0
49;"Шланг поливочный";"Для полива";16.0;5;5;1;"";5;0.0
50;"Дождеватель";"Для полива";13.0;5;5;1;"";5;0.0
